D1	2.32208918265192	A1	0	1	80	1
D1	2.32208918265192	D1	0	5	100	1
D1	2.32208918265192	H1	1	2	70	1
D1	2.32208918265192	I1	0	1	80	1
D1	2.32208918265192	L1	0	3	70	1
K1	2.14651944761061	G1	0	3	80	1
K1	2.14651944761061	K1	0	2	100	1
K1	2.14651944761061	L1	0	3	80	1
K1	2.14651944761061	N1	0	1	70	1
F1	2.03564522743482	F1	1	5	100	1
M1	2.00196881069401	A1	0	1	80	1
M1	2.00196881069401	I1	0	1	80	1
M1	2.00196881069401	L1	0	3	70	1
M1	2.00196881069401	M1	0	4	100	1
B1	1.82777531644538	A1	0	1	80	1
B1	1.82777531644538	B1	0	5	100	1
B1	1.82777531644538	G1	0	3	70	1
C1	1.79380229695497	F1	1	5	80	1
C1	1.79380229695497	O1	0	4	80	1
H1	1.74818138153271	D1	0	5	70	1
H1	1.74818138153271	H1	1	2	100	1
H1	1.74818138153271	I1	0	1	70	1
E1	1.71124583232631	A1	0	1	70	1
E1	1.71124583232631	B1	0	5	70	1
E1	1.71124583232631	D1	0	5	70	1
E1	1.71124583232631	T1	1	5	70	1
G1	1.689870082035	B1	0	5	70	1
G1	1.689870082035	G1	0	3	100	1
G1	1.689870082035	K1	0	2	80	1
G1	1.689870082035	N1	0	1	70	1
G1	1.689870082035	T1	1	5	70	1
O1	1.59117981136515	I1	0	1	70	1
O1	1.59117981136515	N1	0	1	70	1
O1	1.59117981136515	O1	0	4	100	1
D1	2.35891421871484	A1	0	4	80	2
D1	2.35891421871484	D1	0	4	100	2
D1	2.35891421871484	H1	1	4	70	2
D1	2.35891421871484	I1	0	2	80	2
K1	2.18056020002402	K1	0	4	100	2
K1	2.18056020002402	N1	0	3	70	2
F1	2.06792767133123	C1	1	4	80	2
F1	2.06792767133123	F1	1	5	100	2
M1	2.03371719756697	A1	0	4	80	2
M1	2.03371719756697	I1	0	2	80	2
M1	2.03371719756697	M1	0	4	100	2
B1	1.85676124085049	A1	0	4	80	2
C1	1.82224945914751	C1	1	4	100	2
C1	1.82224945914751	F1	1	5	80	2
H1	1.77590506103662	D1	0	4	70	2
H1	1.77590506103662	H1	1	4	100	2
H1	1.77590506103662	I1	0	2	70	2
E1	1.73838376434254	A1	0	4	70	2
E1	1.73838376434254	D1	0	4	70	2
E1	1.73838376434254	T1	1	2	70	2
G1	1.71666901873392	K1	0	4	80	2
G1	1.71666901873392	N1	0	3	70	2
G1	1.71666901873392	T1	1	2	70	2
O1	1.61641366642047	C1	1	4	80	2
O1	1.61641366642047	I1	0	2	70	2
O1	1.61641366642047	N1	0	3	70	2
D1	1.57979055106839	A1	0	4	80	3
D1	1.57979055106839	E1	1	2	70	3
D1	1.57979055106839	H1	1	5	70	3
D1	1.57979055106839	L1	0	1	70	3
K1	1.46034492184692	K1	0	4	100	3
K1	1.46034492184692	L1	0	1	80	3
F1	1.38491368988901	C1	1	1	80	3
M1	1.3620025633678	A1	0	4	80	3
M1	1.3620025633678	L1	0	1	70	3
B1	1.24349323091689	A1	0	4	80	3
B1	1.24349323091689	E1	1	2	70	3
C1	1.22038031482376	C1	1	1	100	3
H1	1.18934296681216	H1	1	5	100	3
E1	1.16421454538041	A1	0	4	70	3
E1	1.16421454538041	E1	1	2	100	3
G1	1.14967194372646	K1	0	4	80	3
O1	1.08252984188822	C1	1	1	80	3
D1	1.94925339071739	D1	0	4	100	4
D1	1.94925339071739	E1	1	4	70	4
D1	1.94925339071739	I1	0	2	80	4
D1	1.94925339071739	L1	0	1	70	4
K1	1.80187322333569	G1	0	3	80	4
K1	1.80187322333569	L1	0	1	80	4
K1	1.80187322333569	N1	0	5	70	4
M1	1.68053170843287	I1	0	2	80	4
M1	1.68053170843287	L1	0	1	70	4
M1	1.68053170843287	M1	0	5	100	4
B1	1.53430680775138	E1	1	4	70	4
B1	1.53430680775138	G1	0	3	70	4
C1	1.50578851503367	O1	0	4	80	4
H1	1.46749251644643	D1	0	4	70	4
H1	1.46749251644643	I1	0	2	70	4
E1	1.43648735521945	D1	0	4	70	4
E1	1.43648735521945	E1	1	4	100	4
E1	1.43648735521945	R1	1	1	80	4
G1	1.41854370140099	G1	0	3	100	4
G1	1.41854370140099	N1	0	5	70	4
O1	1.33569919397242	I1	0	2	70	4
O1	1.33569919397242	N1	0	5	70	4
O1	1.33569919397242	O1	0	4	100	4
D1	2.27142403034691	D1	0	3	100	5
D1	2.27142403034691	E1	1	4	70	5
D1	2.27142403034691	L1	0	5	70	5
K1	2.0996850149868	G1	0	4	80	5
K1	2.0996850149868	K1	0	5	100	5
K1	2.0996850149868	L1	0	5	80	5
F1	1.9912299341849	C1	1	5	80	5
M1	1.95828829861379	L1	0	5	70	5
M1	1.95828829861379	M1	0	1	100	5
B1	1.78789549306501	B1	0	4	100	5
B1	1.78789549306501	E1	1	4	70	5
B1	1.78789549306501	G1	0	4	70	5
C1	1.75466372494857	C1	1	5	100	5
H1	1.71003820236319	D1	0	3	70	5
E1	1.67390853981057	B1	0	4	70	5
E1	1.67390853981057	D1	0	3	70	5
E1	1.67390853981057	E1	1	4	100	5
E1	1.67390853981057	R1	1	5	80	5
E1	1.67390853981057	T1	1	1	70	5
G1	1.65299917619652	B1	0	4	70	5
G1	1.65299917619652	G1	0	4	100	5
G1	1.65299917619652	K1	0	5	80	5
G1	1.65299917619652	T1	1	1	70	5
O1	1.55646221249091	C1	1	5	80	5
